siteName,SLFL,year,temp,nDays
19-131 Reef,FL,2015,27.6,79
19-131 Reef,FL,2015,27.7,77
19-131 Reef,FL,2015,27.8,76
19-131 Reef,FL,2015,27.9,75
19-131 Reef,FL,2015,28,73
19-131 Reef,FL,2015,28.1,71
19-131 Reef,FL,2015,28.2,67
19-131 Reef,FL,2015,28.3,59
19-131 Reef,FL,2015,28.4,49
19-131 Reef,FL,2015,28.5,39
19-131 Reef,FL,2015,28.6,26
19-131 Reef,FL,2015,28.7,13
19-131 Reef,FL,2015,28.8,10
19-131 Reef,FL,2015,28.9,7
19-131 Reef,FL,2015,29,6
19-131 Reef,FL,2015,29.1,4
19-131 Reef,FL,2015,29.4,1
19-131 Reef,FL,2016,27.5,109
19-131 Reef,FL,2016,27.6,107
19-131 Reef,FL,2016,27.8,103
19-131 Reef,FL,2016,27.9,101
19-131 Reef,FL,2016,28,96
19-131 Reef,FL,2016,28.1,94
19-131 Reef,FL,2016,28.2,92
19-131 Reef,FL,2016,28.3,85
19-131 Reef,FL,2016,28.4,76
19-131 Reef,FL,2016,28.5,69
19-131 Reef,FL,2016,28.6,59
19-131 Reef,FL,2016,28.7,45
19-131 Reef,FL,2016,28.8,38
19-131 Reef,FL,2016,28.9,31
19-131 Reef,FL,2016,29,26
19-131 Reef,FL,2016,29.1,21
19-131 Reef,FL,2016,29.2,17
19-131 Reef,FL,2016,29.3,10
19-131 Reef,FL,2016,29.4,9
19-131 Reef,FL,2016,29.5,6
19-131 Reef,FL,2016,29.6,4
19-131 Reef,FL,2016,29.7,2
19-131 Reef,FL,2016,29.9,1
19-131 Reef,FL,2017,27.6,98
19-131 Reef,FL,2017,27.7,97
19-131 Reef,FL,2017,27.8,95
19-131 Reef,FL,2017,27.9,94
19-131 Reef,FL,2017,28,92
19-131 Reef,FL,2017,28.2,88
19-131 Reef,FL,2017,28.3,85
19-131 Reef,FL,2017,28.4,81
19-131 Reef,FL,2017,28.5,75
19-131 Reef,FL,2017,28.6,71
19-131 Reef,FL,2017,28.7,56
19-131 Reef,FL,2017,28.8,44
19-131 Reef,FL,2017,28.9,28
19-131 Reef,FL,2017,29,21
19-131 Reef,FL,2017,29.1,13
19-131 Reef,FL,2017,29.2,5
19-131 Reef,FL,2017,29.3,2
19-131 Reef,FL,2017,29.4,1
19-131 Reef,FL,2018,27.5,71
19-131 Reef,FL,2018,27.6,58
19-131 Reef,FL,2018,27.7,52
19-131 Reef,FL,2018,27.8,43
19-131 Reef,FL,2018,27.9,36
19-131 Reef,FL,2018,28,24
19-131 Reef,FL,2018,28.1,10
19-131 Reef,FL,2018,28.2,2
19-131 Reef,FL,2018,28.3,1
19-131 Reef,FL,2019,27.7,1
19-131 Reef,SL,2015,27.5,91
19-131 Reef,SL,2015,27.6,89
19-131 Reef,SL,2015,27.7,87
19-131 Reef,SL,2015,27.8,86
19-131 Reef,SL,2015,27.9,85
19-131 Reef,SL,2015,28,77
19-131 Reef,SL,2015,28.1,73
19-131 Reef,SL,2015,28.2,59
19-131 Reef,SL,2015,28.3,45
19-131 Reef,SL,2015,28.4,34
19-131 Reef,SL,2015,28.5,25
19-131 Reef,SL,2015,28.6,15
19-131 Reef,SL,2015,28.7,8
19-131 Reef,SL,2015,28.8,7
19-131 Reef,SL,2015,29,6
19-131 Reef,SL,2015,29.1,2
19-131 Reef,SL,2015,29.2,1
19-131 Reef,SL,2016,27.5,108
19-131 Reef,SL,2016,27.6,104
19-131 Reef,SL,2016,27.7,102
19-131 Reef,SL,2016,27.8,101
19-131 Reef,SL,2016,27.9,98
19-131 Reef,SL,2016,28,94
19-131 Reef,SL,2016,28.1,92
19-131 Reef,SL,2016,28.2,89
19-131 Reef,SL,2016,28.3,72
19-131 Reef,SL,2016,28.4,67
19-131 Reef,SL,2016,28.5,57
19-131 Reef,SL,2016,28.6,44
19-131 Reef,SL,2016,28.7,34
19-131 Reef,SL,2016,28.8,29
19-131 Reef,SL,2016,28.9,26
19-131 Reef,SL,2016,29,22
19-131 Reef,SL,2016,29.1,14
19-131 Reef,SL,2016,29.2,5
19-131 Reef,SL,2016,29.3,1
19-131 Reef,SL,2017,28.2,53
19-131 Reef,SL,2017,28.3,49
19-131 Reef,SL,2017,28.4,45
19-131 Reef,SL,2017,28.5,43
19-131 Reef,SL,2017,28.6,42
19-131 Reef,SL,2017,28.7,30
19-131 Reef,SL,2017,28.8,17
19-131 Reef,SL,2017,28.9,11
19-131 Reef,SL,2017,29,8
19-131 Reef,SL,2017,29.1,5
19-131 Reef,SL,2017,29.2,2
19-131 Reef,SL,2017,29.3,1
19-131 Reef,SL,2011,27.6,21
19-131 Reef,SL,2011,27.7,19
19-131 Reef,SL,2011,27.8,18
19-131 Reef,SL,2011,27.9,10
19-131 Reef,SL,2011,28,8
19-131 Reef,SL,2011,28.1,6
19-131 Reef,SL,2011,28.2,4
19-131 Reef,SL,2011,28.3,3
19-131 Reef,SL,2011,28.4,1
19-131 Reef,SL,2012,27.5,87
19-131 Reef,SL,2012,27.6,84
19-131 Reef,SL,2012,27.7,81
19-131 Reef,SL,2012,27.8,77
19-131 Reef,SL,2012,27.9,70
19-131 Reef,SL,2012,28,66
19-131 Reef,SL,2012,28.1,58
19-131 Reef,SL,2012,28.2,48
19-131 Reef,SL,2012,28.3,46
19-131 Reef,SL,2012,28.4,44
19-131 Reef,SL,2012,28.5,43
19-131 Reef,SL,2012,28.6,38
19-131 Reef,SL,2012,28.7,31
19-131 Reef,SL,2012,28.8,20
19-131 Reef,SL,2012,28.9,10
19-131 Reef,SL,2012,29,6
19-131 Reef,SL,2012,29.1,3
19-131 Reef,SL,2012,29.2,1
19-131 Reef,SL,2013,27.5,73
19-131 Reef,SL,2013,27.6,65
19-131 Reef,SL,2013,27.7,62
19-131 Reef,SL,2013,27.8,59
19-131 Reef,SL,2013,27.9,57
19-131 Reef,SL,2013,28,50
19-131 Reef,SL,2013,28.1,43
19-131 Reef,SL,2013,28.2,34
19-131 Reef,SL,2013,28.3,20
19-131 Reef,SL,2013,28.4,11
19-131 Reef,SL,2013,28.5,8
19-131 Reef,SL,2013,28.6,5
19-131 Reef,SL,2013,28.7,2
19-131 Reef,SL,2013,28.9,1
19-131 Reef,SL,2014,27.5,58
19-131 Reef,SL,2014,27.6,48
19-131 Reef,SL,2014,27.7,39
19-131 Reef,SL,2014,27.8,27
19-131 Reef,SL,2014,27.9,16
19-131 Reef,SL,2014,28,9
19-131 Reef,SL,2014,28.1,4
19-131 Reef,SL,2014,28.2,1
19-138 Reef,FL,2015,27.6,76
19-138 Reef,FL,2015,27.7,75
19-138 Reef,FL,2015,27.8,74
19-138 Reef,FL,2015,28,72
19-138 Reef,FL,2015,28.1,67
19-138 Reef,FL,2015,28.2,60
19-138 Reef,FL,2015,28.3,53
19-138 Reef,FL,2015,28.4,36
19-138 Reef,FL,2015,28.5,25
19-138 Reef,FL,2015,28.6,15
19-138 Reef,FL,2015,28.7,10
19-138 Reef,FL,2015,28.8,7
19-138 Reef,FL,2015,28.9,6
19-138 Reef,FL,2015,29,5
19-138 Reef,FL,2015,29.1,4
19-138 Reef,FL,2015,29.2,1
19-138 Reef,FL,2016,27.5,108
19-138 Reef,FL,2016,27.6,104
19-138 Reef,FL,2016,27.7,103
19-138 Reef,FL,2016,27.8,101
19-138 Reef,FL,2016,27.9,95
19-138 Reef,FL,2016,28,94
19-138 Reef,FL,2016,28.1,92
19-138 Reef,FL,2016,28.2,84
19-138 Reef,FL,2016,28.3,72
19-138 Reef,FL,2016,28.4,67
19-138 Reef,FL,2016,28.5,57
19-138 Reef,FL,2016,28.6,45
19-138 Reef,FL,2016,28.7,34
19-138 Reef,FL,2016,28.8,31
19-138 Reef,FL,2016,28.9,29
19-138 Reef,FL,2016,29,22
19-138 Reef,FL,2016,29.1,17
19-138 Reef,FL,2016,29.2,10
19-138 Reef,FL,2016,29.3,5
19-138 Reef,FL,2016,29.4,3
19-138 Reef,FL,2016,29.5,1
19-138 Reef,FL,2017,28.1,62
19-138 Reef,FL,2017,28.2,60
19-138 Reef,FL,2017,28.3,58
19-138 Reef,FL,2017,28.4,53
19-138 Reef,FL,2017,28.5,50
19-138 Reef,FL,2017,28.6,43
19-138 Reef,FL,2017,28.7,36
19-138 Reef,FL,2017,28.8,21
19-138 Reef,FL,2017,28.9,14
19-138 Reef,FL,2017,29,9
19-138 Reef,FL,2017,29.1,5
19-138 Reef,FL,2017,29.2,2
19-138 Reef,FL,2017,29.3,1
19-138 Reef,SL,2015,27.6,90
19-138 Reef,SL,2015,27.7,88
19-138 Reef,SL,2015,27.8,87
19-138 Reef,SL,2015,27.9,86
19-138 Reef,SL,2015,28,85
19-138 Reef,SL,2015,28.1,78
19-138 Reef,SL,2015,28.2,63
19-138 Reef,SL,2015,28.3,46
19-138 Reef,SL,2015,28.4,32
19-138 Reef,SL,2015,28.5,25
19-138 Reef,SL,2015,28.6,14
19-138 Reef,SL,2015,28.7,7
19-138 Reef,SL,2015,28.9,6
19-138 Reef,SL,2015,29.1,2
19-138 Reef,SL,2015,29.2,1
19-138 Reef,SL,2016,27.5,107
19-138 Reef,SL,2016,27.6,103
19-138 Reef,SL,2016,27.7,102
19-138 Reef,SL,2016,27.8,101
19-138 Reef,SL,2016,27.9,96
19-138 Reef,SL,2016,28,94
19-138 Reef,SL,2016,28.1,91
19-138 Reef,SL,2016,28.2,88
19-138 Reef,SL,2016,28.3,72
19-138 Reef,SL,2016,28.4,65
19-138 Reef,SL,2016,28.5,59
19-138 Reef,SL,2016,28.6,48
19-138 Reef,SL,2016,28.7,36
19-138 Reef,SL,2016,28.8,31
19-138 Reef,SL,2016,28.9,28
19-138 Reef,SL,2016,29,20
19-138 Reef,SL,2016,29.1,14
19-138 Reef,SL,2016,29.2,7
19-138 Reef,SL,2016,29.3,5
19-138 Reef,SL,2016,29.4,2
19-138 Reef,SL,2016,29.5,1
19-138 Reef,SL,2017,27.5,100
19-138 Reef,SL,2017,27.6,98
19-138 Reef,SL,2017,27.7,97
19-138 Reef,SL,2017,27.8,96
19-138 Reef,SL,2017,27.9,95
19-138 Reef,SL,2017,28,94
19-138 Reef,SL,2017,28.1,89
19-138 Reef,SL,2017,28.2,84
19-138 Reef,SL,2017,28.3,82
19-138 Reef,SL,2017,28.4,75
19-138 Reef,SL,2017,28.5,70
19-138 Reef,SL,2017,28.6,68
19-138 Reef,SL,2017,28.7,57
19-138 Reef,SL,2017,28.8,37
19-138 Reef,SL,2017,28.9,22
19-138 Reef,SL,2017,29,12
19-138 Reef,SL,2017,29.1,5
19-138 Reef,SL,2017,29.2,1
19-138 Reef,SL,2011,27.5,18
19-138 Reef,SL,2011,27.7,14
19-138 Reef,SL,2011,27.8,10
19-138 Reef,SL,2011,27.9,7
19-138 Reef,SL,2011,28,5
19-138 Reef,SL,2011,28.1,4
19-138 Reef,SL,2011,28.3,1
19-138 Reef,SL,2012,27.5,81
19-138 Reef,SL,2012,27.6,78
19-138 Reef,SL,2012,27.7,74
19-138 Reef,SL,2012,27.8,69
19-138 Reef,SL,2012,27.9,63
19-138 Reef,SL,2012,28,54
19-138 Reef,SL,2012,28.1,47
19-138 Reef,SL,2012,28.2,45
19-138 Reef,SL,2012,28.3,43
19-138 Reef,SL,2012,28.4,40
